Date,Transaction_Type,Category,Rack,Bay,Shelf
20/9/2023,Input,Category C,Rack 2,7,1
20/9/2023,Input,Category B,Rack 1,8,1
20/9/2023,Input,Category B,Rack 1,6,1
20/9/2023,Input,Category B,Rack 1,3,3
20/9/2023,Input,Category A,Rack 1,5,1
20/9/2023,Input,Category A,Rack 1,4,4
21/9/2023,Input,Category B,Rack 1,10,1
21/9/2023,Input,Category B,Rack 2,5,1
21/9/2023,Input,Category A,Rack 2,10,1
21/9/2023,Input,Category A,Rack 1,4,4
21/9/2023,Input,Category B,Rack 1,8,1
21/9/2023,Input,Category C,Rack 2,5,4
21/9/2023,Input,Category B,Rack 2,1,1
21/9/2023,Input,Category C,Rack 1,3,3
21/9/2023,Input,Category A,Rack 1,1,4
21/9/2023,Input,Category C,Rack 2,9,2
22/9/2023,Input,Category A,Rack 2,8,1
22/9/2023,Input,Category B,Rack 2,7,1
22/9/2023,Input,Category C,Rack 2,5,1
22/9/2023,Input,Category B,Rack 2,5,1
22/9/2023,Input,Category A,Rack 1,3,1
22/9/2023,Input,Category A,Rack 2,10,4
22/9/2023,Input,Category C,Rack 2,9,4
22/9/2023,Input,Category C,Rack 1,9,1
22/9/2023,Input,Category A,Rack 2,2,1
22/9/2023,Input,Category B,Rack 1,7,4
23/9/2023,Input,Category C,Rack 2,2,4
23/9/2023,Input,Category A,Rack 1,3,4
23/9/2023,Input,Category A,Rack 1,9,2
23/9/2023,Input,Category B,Rack 1,10,4
23/9/2023,Input,Category C,Rack 2,5,4
23/9/2023,Input,Category C,Rack 2,7,4
23/9/2023,Input,Category C,Rack 2,9,2
23/9/2023,Input,Category B,Rack 2,3,1
23/9/2023,Input,Category A,Rack 2,1,3
23/9/2023,Input,Category A,Rack 2,10,4
24/9/2023,Input,Category B,Rack 1,5,4
24/9/2023,Input,Category A,Rack 1,7,4
24/9/2023,Input,Category A,Rack 2,8,2
24/9/2023,Input,Category A,Rack 2,1,4
24/9/2023,Input,Category C,Rack 1,7,2
24/9/2023,Input,Category C,Rack 1,9,1
24/9/2023,Input,Category A,Rack 1,6,3
24/9/2023,Input,Category C,Rack 2,1,3
24/9/2023,Input,Category B,Rack 2,5,1
24/9/2023,Input,Category A,Rack 1,7,4
25/9/2023,Input,Category B,Rack 1,10,1
25/9/2023,Input,Category B,Rack 2,3,3
25/9/2023,Input,Category C,Rack 1,5,4
25/9/2023,Input,Category C,Rack 2,6,1
25/9/2023,Input,Category B,Rack 1,9,1
25/9/2023,Input,Category C,Rack 1,4,1
25/9/2023,Input,Category A,Rack 1,6,4
25/9/2023,Input,Category B,Rack 1,9,4
25/9/2023,Input,Category C,Rack 1,4,1
25/9/2023,Input,Category B,Rack 2,2,4
26/9/2023,Input,Category A,Rack 2,10,4
26/9/2023,Input,Category B,Rack 2,9,3
26/9/2023,Input,Category B,Rack 1,8,1
26/9/2023,Input,Category A,Rack 1,2,4
26/9/2023,Input,Category B,Rack 1,1,3
26/9/2023,Input,Category A,Rack 2,6,4
26/9/2023,Input,Category C,Rack 2,8,1
26/9/2023,Input,Category C,Rack 1,8,1
26/9/2023,Input,Category A,Rack 2,6,2
26/9/2023,Input,Category B,Rack 1,3,1
27/9/2023,Input,Category A,Rack 1,8,1
27/9/2023,Input,Category B,Rack 1,3,1
27/9/2023,Input,Category B,Rack 2,1,3
27/9/2023,Input,Category A,Rack 1,6,4
27/9/2023,Input,Category A,Rack 1,5,4
27/9/2023,Input,Category A,Rack 2,1,1
27/9/2023,Input,Category C,Rack 1,10,4
27/9/2023,Input,Category B,Rack 2,1,2
27/9/2023,Input,Category C,Rack 1,4,1
27/9/2023,Input,Category A,Rack 1,5,4
28/9/2023,Input,Category C,Rack 2,2,1
28/9/2023,Input,Category C,Rack 2,9,1
28/9/2023,Input,Category C,Rack 1,8,1
28/9/2023,Input,Category B,Rack 1,3,1
28/9/2023,Input,Category B,Rack 2,8,1
28/9/2023,Input,Category B,Rack 2,7,1
28/9/2023,Input,Category C,Rack 2,7,4
28/9/2023,Input,Category A,Rack 2,10,1
28/9/2023,Input,Category C,Rack 2,4,1
28/9/2023,Input,Category C,Rack 1,6,1
29/9/2023,Input,Category A,Rack 2,3,4
29/9/2023,Input,Category B,Rack 2,4,1
29/9/2023,Input,Category C,Rack 1,5,4
29/9/2023,Input,Category A,Rack 1,1,1
29/9/2023,Input,Category A,Rack 2,6,4
29/9/2023,Input,Category B,Rack 2,2,4
29/9/2023,Input,Category C,Rack 2,3,4
29/9/2023,Input,Category C,Rack 2,3,1
29/9/2023,Input,Category A,Rack 2,7,1
29/9/2023,Input,Category A,Rack 2,9,1
30/9/2023,Input,Category A,Rack 2,7,4
30/9/2023,Input,Category C,Rack 2,5,1
30/9/2023,Input,Category A,Rack 2,8,4
30/9/2023,Input,Category A,Rack 1,1,1
30/9/2023,Input,Category C,Rack 1,7,4
30/9/2023,Input,Category A,Rack 2,2,1
30/9/2023,Input,Category C,Rack 1,3,4
30/9/2023,Input,Category B,Rack 1,1,1
30/9/2023,Input,Category A,Rack 2,3,4
30/9/2023,Input,Category B,Rack 2,9,1
